Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
10.10.2015 klo 19.07.48	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
10.10.2015 klo 19.36.28	#N/A	Pohjois-Pohjanmaa	Esiopetus	En	ScratchJr (E-2)	Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Tietotekniikka, Käsityö, Musiikki, Kuvataide, Esiopetus	ScratchJr, Hopscotch	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Ii
10.10.2015 klo 20.59.20	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)	Kielet	ScratchJr, Code.org, Logo	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Espoo
10.10.2015 klo 21.02.49	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Scratch, Hopscotch, Lego RXT, NXT tai EV3, Logo	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
10.10.2015 klo 21.07.37	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lappeenranta
10.10.2015 klo 22.02.34	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En tiedä	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Code.org, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuusamo
10.10.2015 klo 22.36.46	#N/A	Uusimaa	Perusopetus luokat 7-9	En	En tiedä vielä	Matematiikka, Fysiikka ja/tai kemia	Python	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Espoo
10.10.2015 klo 22.45.25	309	Satakunta	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Fysiikka ja/tai kemia	Code.org, Pascal, (Modula-2, Kojo)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	3-5h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pori
10.10.2015 klo 23.16.42	69	Satakunta	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka	Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pori
11.10.2015 klo 3.07.08	70	Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Ammattillinen koulutus, Lukio, Ammattikorkeakoulu, Yliopisto	En	En tiedä vielä	Matematiikka, Fysiikka ja/tai kemia	C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	Käytän niin paljon kuin se vaatii	Nainen	25-35	Muu	Vaasa
