Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
24.10.2015 klo 9.35.17	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kangasala
24.10.2015 klo 9.58.03	#N/A	Pohjois-Savo	Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Äidinkieli ja kirjallisuus	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Vieremä
24.10.2015 klo 11.16.03	#N/A	Keski-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, C/C++, Java, HTML, CSS	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Uurainen
24.10.2015 klo 11.35.45	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Oulu
24.10.2015 klo 11.44.01	#N/A	Uusimaa	Lukio	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kerava
24.10.2015 klo 12.03.42	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Oulu
24.10.2015 klo 12.06.26	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Oulu
24.10.2015 klo 12.14.18	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)		JavaScript, C/C++, Java, C#, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Koulunkäynninohjaaja	Kiiminki
24.10.2015 klo 12.21.33	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hyvinkää
24.10.2015 klo 12.34.41	#N/A	Lappi	Perusopetus luokat 7-9	En	Racket (7-9)	Äidinkieli ja kirjallisuus	Java	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kemi
24.10.2015 klo 13.09.52	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Työtön, ei työelämässä	
24.10.2015 klo 14.58.53	#N/A	Uusimaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Nurmijärvi
24.10.2015 klo 15.05.27	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Scratch, Lego RXT, NXT tai EV3, Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Kirkkonummi
24.10.2015 klo 15.07.26	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, JavaScript, Java, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	0-1h	Mies	46-55	Vakinainen työsuhde (opettaja)	Helsinki
24.10.2015 klo 15.19.27	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Code.org, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	0-1h	Nainen	25-35	Vakinainen työsuhde (opettaja)	vantaa
24.10.2015 klo 15.26.59	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vantaa
24.10.2015 klo 15.55.17	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi	Hopscotch, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Espoo
24.10.2015 klo 16.50.32	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Musiikki, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Isojoki
24.10.2015 klo 16.50.50	199	Etelä-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	bee-bot	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Isojoki
24.10.2015 klo 17.04.54	199	Etelä-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	bee-bot	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Isojoki
24.10.2015 klo 17.12.36	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Turtle Roy, Lego RXT, NXT tai EV3	En ole koskaan käyttänyt ohjelmointia opetustyössä	0,5-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Espoo
24.10.2015 klo 17.15.01	#N/A	Päijät-Häme	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Scratch, Lego RXT, NXT tai EV3	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Mies	25-35	Vakinainen työsuhde (opettaja)	Nastola
24.10.2015 klo 18.26.23	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Kielet	ScratchJr, Hopscotch, HTML, CSS		1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vihti
24.10.2015 klo 18.28.58	#N/A	Kanta-Häme	Esiopetus	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Tammela
24.10.2015 klo 18.29.57	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Oppilaanohjaus	Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	
24.10.2015 klo 18.30.33	#N/A	Pirkanmaa	Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia		En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tampere
24.10.2015 klo 18.31.35	#N/A	Lappi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kemi
24.10.2015 klo 18.37.00	#N/A	Uusimaa	Esiopetus	En	ScratchJr (E-2)		En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kirkkonummi
24.10.2015 klo 18.39.50	#N/A	Satakunta	Esiopetus	En	ScratchJr (E-2)	esiopetuksen sisältöalueet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Pori
24.10.2015 klo 18.41.18	#N/A	Pirkanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Kotitalous	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Loimaa
24.10.2015 klo 18.44.53	#N/A	Lappi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kemi
24.10.2015 klo 18.46.20	#N/A	Satakunta	Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Ulvila
24.10.2015 klo 18.48.48	#N/A	Satakunta	Esiopetus	En	ScratchJr (E-2)	Esiopetus	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Pori
24.10.2015 klo 19.20.14	#N/A	Uusimaa	Perusopetus luokat 1-2	En	Scratch (3-6)	Olen luokanopettaja, Kielet	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
24.10.2015 klo 19.40.58	#N/A	Uusimaa	en ole opettaja	En	ScratchJr (E-2)		JavaScript, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	ei ole opettaja	1-2h	Nainen	36-45	Vakinainen työsuhde (ei opettaja)	
24.10.2015 klo 19.45.04	294	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi, Tietotekniikka, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lohja
24.10.2015 klo 19.45.15	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Turku
24.10.2015 klo 19.55.00	#N/A	Etelä-Karjala	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus	JavaScript, Java, HTML, CSS, Adobe Directorin ohjelmointikieli	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
24.10.2015 klo 20.24.43	#N/A	Pohjois-Karjala	Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Racket (7-9)	Terveystieto, Oppilaanohjaus, Psykologia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
24.10.2015 klo 20.26.59	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Tietotekniikka	Scratch, Code.org, JavaScript, Python, C/C++, Java, C#, Logo, Basic (Visual, Cool, tms), HTML, CSS, Pascal, Fortran, Lisp, Scheme, ja muutama muu ;)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	36-45	Vakinainen työsuhde (opettaja)	Helsinki
24.10.2015 klo 20.29.42	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Uskonto ja/tai ET, Musiikki, Kuvataide	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Leppävirta
24.10.2015 klo 21.07.34	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Uskonto ja/tai ET, Tietotekniikka, Käsityö, Musiikki, Kuvataide, Liikunta	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Sievi
24.10.2015 klo 21.07.36	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Basic (Visual, Cool, tms)	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	2-3h	Mies	46-55	Vakinainen työsuhde (opettaja)	Espoo
24.10.2015 klo 21.09.55	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja	Basic (Visual, Cool, tms), HTML, CSS	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tammela
24.10.2015 klo 21.10.12	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Sievi
24.10.2015 klo 21.15.31	#N/A	Kanta-Häme	Esiopetus	En	ScratchJr (E-2)	Esiluokka	Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Tammela
24.10.2015 klo 21.17.21	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja	Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Lego ohjelmointia	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Pirkkala
24.10.2015 klo 21.18.41	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Raahe
24.10.2015 klo 21.26.37	#N/A	Etelä-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen erityisopettaja, Matematiikka	C/C++, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Isojoki
24.10.2015 klo 21.38.31	#N/A	Pirkanmaa	Kotona omille lapsille	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2)		HTML, CSS	Omassa työssä	1-2h	Mies	25-35	Muu ammatti	
24.10.2015 klo 22.05.49	#N/A	Keski-Suomi	Perusopetus luokat 7-9, Lukio	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Oppilaanohjaus, Tietotekniikka	C/C++, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Konnevesi
24.10.2015 klo 22.21.36	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Oulu
24.10.2015 klo 22.24.13	#N/A	Pohjois-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Uskonto ja/tai ET, Liikunta	En ole koskaan ohjelmoinut mitään	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Joensuu
24.10.2015 klo 22.30.38	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Sijainen, määräaikainen (opettaja)	
24.10.2015 klo 22.31.16	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Kielet	JavaScript, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
24.10.2015 klo 22.33.48	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hyvinkää
24.10.2015 klo 22.34.46	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Fysiikka ja/tai kemia, Tietotekniikka	C/C++, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Oulu
24.10.2015 klo 22.36.04	100	Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Isojoki
24.10.2015 klo 22.36.32	#N/A	Uusimaa	Esiopetus, Perusopetus luokat 1-2	En	ScratchJr (E-2)			En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	
24.10.2015 klo 22.37.15	#N/A	Etelä-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Matematiikka	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lapua
24.10.2015 klo 22.54.19	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Biologia ja/tai maantieto, Terveystieto	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Nurmijärvi
24.10.2015 klo 22.57.37	#N/A	Muualla	Esiopetus	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lontoo
24.10.2015 klo 23.04.32	#N/A	Uusimaa		En	Racket (7-9)		En ole koskaan ohjelmoinut mitään		3-5h	Nainen	Alle 25	Opiskelija	
24.10.2015 klo 23.21.30	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lohja
24.10.2015 klo 23.28.10	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
24.10.2015 klo 23.34.44	#N/A	Etelä-Savo	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Code.org, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pieksämäki
24.10.2015 klo 23.39.32	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Eurajoki
24.10.2015 klo 23.57.53	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	itse koulun aikana jotain, en muista tarkemmin!	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Ruovesi
25.10.2015 klo 1.34.12	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Lukio, Yliopisto	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Tietotekniikka, Musiikki, Kuvataide, Liikunta	ScratchJr, Scratch, C/C++, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Mies	25-35	Vakinainen työsuhde (opettaja)	Nurmijärvi
25.10.2015 klo 8.19.55	#N/A	Uusimaa	peruskoulu 1 - 6	En	ScratchJr (E-2)	koulusihteeri	C/C++, C#	koulusihteeri	1-2h	Nainen	46-55	koulusihteeri	
25.10.2015 klo 8.23.59	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	Scratch, Hopscotch, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	3-5h	Nainen	46-55	Työtön, ei työelämässä	
25.10.2015 klo 9.24.10	#N/A	Satakunta	Perusopetus luokat 1-2	En tiedä	ScratchJr (E-2)	erityisluokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Pomarkku
25.10.2015 klo 10.01.15	#N/A	Uusimaa	Vapaa sivistystyö	En	Scratch (3-6), En tiedä vielä		En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	terveydenhuolto	
25.10.2015 klo 10.14.41	#N/A	Keski-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	Turtle Roy	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Jyväskylä
25.10.2015 klo 10.28.57	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä, Olemme leikkineet ohjelmointia ennakoivia leikkejä.	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Espoo
25.10.2015 klo 10.36.53	#N/A	Muualla	Perusopetus luokat 3-6, Eurooppakoulu	En	Scratch (3-6)	Olen luokanopettaja, ITK 	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Brysseli
25.10.2015 klo 10.47.27	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Vantaa
25.10.2015 klo 11.09.29	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Pielavesi
25.10.2015 klo 12.16.54	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	JavaScript, Basic (Visual, Cool, tms), HTML, CSS	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Köyliö
25.10.2015 klo 12.19.27	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
25.10.2015 klo 12.27.34	#N/A	Päijät-Häme	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lahti
